index,personal_id,vivienda_id,acceso,year
0,795524113,79552411,1,2015
1,9159136113,915913611,0,2015
2,86684116,8668411,0,2015
3,4153113,415311,0,2015
4,517556115,51755611,1,2015
5,66108113,6610811,1,2015
6,85027113,8502711,0,2015
7,707180114,70718011,0,2015
8,528126114,52812611,1,2015
9,729472115,72947211,0,2015
10,661131113,66113111,0,2015
11,626473117,62647311,0,2015
12,75562113,7556211,1,2015
13,540110113,54011011,0,2015
14,940821113,94082111,0,2015
15,920598113,92059811,0,2015
16,72482113,7248211,0,2015
17,281364113,28136411,0,2015
18,53841113,5384111,0,2015
19,98094113,9809411,0,2015
20,9161111113,916111111,0,2015
21,606493114,60649311,0,2015
22,629923113,62992311,1,2015
23,512759113,51275911,0,2015
24,273120116,27312011,0,2015
25,5798191113,579819111,1,2015
26,707446114,70744611,0,2015
27,638981115,63898111,0,2015
28,184722113,18472211,1,2015
29,531149115,53114911,0,2015
30,7628132113,762813211,1,2015
31,403430113,40343011,0,2015
32,55419115,5541911,1,2015
33,843343114,84334311,1,2015
34,523344113,52334411,1,2015
35,860811114,86081111,1,2015
36,642610113,64261011,0,2015
37,13253114,1325311,0,2015
38,7390168113,739016811,1,2015
39,972531113,97253111,1,2015
40,103072113,10307211,0,2015
41,7177107113,717710711,1,2015
42,7334168113,733416811,1,2015
43,60298113,6029811,0,2015
44,784493113,78449311,1,2015
45,658015112,65801511,0,2015
46,43676116,4367611,0,2015
47,79673113,7967311,1,2015
48,1434108113,143410811,0,2015
49,8300111114,830011111,1,2015
50,359786115,35978611,1,2015
51,1030938114,103093811,0,2015
52,82593113,8259311,0,2015
53,235247113,23524711,1,2015
54,572050113,57205011,0,2015
55,6261106113,626110611,0,2015
56,1022665113,102266511,1,2015
57,740356114,74035611,0,2015
58,7014108114,701410811,1,2015
59,8667106114,866710611,1,2015
60,859011114,85901111,1,2015
61,892077113,89207711,1,2015
62,886972113,88697211,1,2015
63,73338114,7333811,0,2015
64,660649114,66064911,0,2015
65,9191121112,919112111,1,2015
66,810642114,81064211,1,2015
67,312350113,31235011,1,2015
68,347727111,34772711,1,2015
69,1746113113,174611311,1,2015
70,6039100113,603910011,1,2015
71,522841114,52284111,1,2015
72,658182112,65818211,0,2015
73,98041113,9804111,1,2015
74,980880113,98088011,1,2015
75,725377113,72537711,0,2015
76,6482119113,648211911,1,2015
77,7055115114,705511511,0,2015
78,981682113,98168211,1,2015
79,551219113,55121911,1,2015
80,914533112,91453311,1,2015
81,6595147113,659514711,1,2015
82,898132113,89813211,1,2015
83,532010114,53201011,0,2015
84,822645122,82264512,0,2015
85,572050114,57205011,0,2015
86,864558114,86455811,1,2015
87,583396113,58339611,0,2015
88,863367114,86336711,0,2015
89,8394144113,839414411,1,2015
90,850833113,85083311,1,2015
91,102837115,10283711,1,2015
92,67998113,6799811,0,2015
93,575638114,57563811,1,2015
94,69218115,6921811,0,2015
95,970169114,97016911,0,2015
96,741641113,74164111,1,2015
97,528614114,52861411,0,2015
98,518352115,51835211,0,2015
99,8675120114,867512011,1,2015
100,331482113,33148211,1,2015
101,63675114,6367511,1,2015
102,951315113,95131511,0,2015
103,640893113,64089311,0,2015
104,504369112,50436911,0,2015
105,904875113,90487511,1,2015
106,8105131113,810513111,1,2015
107,705030113,70503011,1,2015
108,988645115,98864511,0,2015
109,867590114,86759011,0,2015
110,3923132113,392313211,1,2015
111,65253114,6525311,1,2015
112,188278113,18827811,0,2015
113,781290113,78129011,0,2015
114,635167114,63516711,1,2015
115,153839116,15383911,1,2015
116,918536113,91853611,0,2015
117,883657112,88365711,1,2015
118,875610113,87561011,1,2015
119,912484113,91248411,1,2015
120,59542113,5954211,1,2015
121,729256123,72925612,0,2015
